feuv,pCO2,Ts,Hesc,Oesc,Cesc,Onon,Cnon,H2O2dep,O3dep,Htot,Otot,Ctot,HO,CO,HCO
13.5,75.66350035898027,220,576380677.0531673,17700232.34997783,185780719.76275054,316e6,310499999.99999994,639405961.5753689,102548526.62527667,1855192600.203905,1920157735.3765457,496280719.7627505,0.48308338581363974,0.5169166164001929,1.0000000022138327
13,75.6781299729783,220,832013649.3703694,3949777.5874007693,63043919.68370842,308e6,288999999.99999994,617975676.842627,63389735.693749845,2067965003.0556235,1738070338.3539045,352043919.68370837,0.5949025644768083,0.40509743698534423,1.0000000014621524
12,75.69465683522539,220,1029770642.807125,178319.34152320202,6527315.641580472,292e6,246e6,595264511.8839743,44165704.526172735,2220299666.5750737,1615204456.68799,252527315.64158046,0.6873122648286409,0.3126877400516749,1.0000000048803157
11,75.70355130315622,220,1116554002.8870802,3804.365402269034,378831.4204243655,276e6,202999999.99999994,578561336.7921771,36823104.32623744,2273676676.4714346,1543595790.9284687,203378831.4204243,0.7364870679984895,0.26351306814343217,1.0000001361419217
10,75.71344271209095,220,1193346929.554507,55.702403420827935,16581.769170910342,26e7,159999999.99999997,563428093.5612334,31092793.489895888,2320203116.676974,1480134623.2945578,160016581.76917088,0.7837811102319022,0.21621895637168187,1.0000000666035842
8,75.73224861050902,220,1326782981.934287,0.0016550187981183527,7.160662469842182,228000000.00000003,73999999.99999997,519496736.40000755,21296322.291086454,2365776454.734302,1330882439.6749294,74000007.16066244,0.8887999361206342,0.11120442340307246,1.0000043595237067
3,75.71984100061042,220,1225832059.7949066,6365328484580312e-34,20663288223719638e-27,148e6,39e6,487049733.7478983,18622093.988786846,2199931527.2907033,1177965749.4621572,39e6,0.933784164902571,0.06621584713784226,1.0000000120404133
14,75.65057553118865,220,265006856.50053495,65650510.321516715,474556654.5027948,324e6,331999999.99999994,669195718.35723,228923503.46162477,1603398293.214995,2414812457.4208508,806556654.5027947,0.3319923019876066,0.6680076972637788,0.9999999992513853
14.5,75.64283785196785,220,73742838.28445311,254353949.75765085,1245596170.7581763,332e6,3535e5,720838865.3963652,642623648.814107,1515420569.0771835,3955902626.992702,1599096170.7581763,0.1915391646317157,0.8084608351312316,0.9999999997629473
15,75.64049625257347,220,13402997.17417482,1616001714.4815052,4440591448.478442,34e7,375e6,842682258.9727935,2279733474.656974,1698767515.1197617,10480566656.398014,4815591448.478442,0.08104368641569225,0.918956313404809,0.9999999998205013
